dataset (bag AUC),SIL,MI_SVM,mi_SVM,adaboost(500 rounds),rankboost
apple~cokecan,0.626,0.954,0.875,0.925,0.92
banana~goldmedal,0.826,0.952,0.731,0.86,1
dirtyworkgloves~dirtyrunningshoe,0.648,0.756,0.753,0.96,0.83
wd40can~largespoon,0.981,1,0.987,0.96,0.92
checkeredscarf~dataminingbook (SIVAL 5),0.985,0.964,1,0.997,
juliespot~rapbook (SIVAL 8),0.874,0.998,0.812,0.768,
smileyfacedoll~feltflowerrug (SIVAL 9),0.907,0.979,0.822,0.875,
BRCR (Birdsong 1),0.894,0.974,0.976,0.943,
WIWR (Birdsong 13),0.98,0.948,0.985,0.991,
PSFL (Birdsong 8),0.913,0.901,0.921,0.937,
RBNU (Birdsong 9),0.984,0.941,0.962,0.966,
DEJU (Birdsong 3),0.908,0.916,0.909,0.94,
OSFL (Birdsong 7),0.931,0.928,0.934,0.963,
alt.atheism,0.928,0.931,0.87,0.51,0.6
comp.graphics,0.873,0.794,1,0.54,0.6
comp.os.ms-windows.misc,0.755,0.715,0.805,0.68,0.76
comp.sys.ibm.pc.hardware,0.765,0.767,0.727,0.52,0.52
comp.sys.mac.hardware,0.776,0.842,0.76,0.53,0.84
comp.windows.x,0.814,0.862,0.837,0.75,0.375
stripednotebook~greenteabox (SIVAL 10),0.819,0.772,0.93,0.978,
cardboardbox~candlewithholder (SIVAL 4),0.657,0.683,0.831,0.931,
bluescrunge~ajaxorange (SIVAL 3),0.785,0.666,0.716,0.806,
HETH (Birdsong 5),0.664,0.623,0.542,0.92,
CBCH(Birdsong 2),0.902,0.895,0.895,0.926,
VATH (Birdsong 11),0.991,0.988,0.991,0.987,
