dataset (Inst AUC),SIL,MI_SVM,mi_SVM,adaboost(500 rounds),rankboost
apple~cokecan,0.758,0.872,0.836,0.7,0.68
banana~goldmedal,0.867,0.841,0.782,0.75,0.7
dirtyworkgloves~dirtyrunningshoe,0.619,0.489,0.603,0.65,0.63
wd40can~largespoon,0.965,0.795,0.952,0.903,0.87
checkeredscarf~dataminingbook,0.954,0.81,0.961,0.97,0.96
juliespot~rapbook,0.868,0.852,0.768,0.87,0.85
smileyfacedoll~feltflowerrug,0.829,0.73,0.824,0.76,0.76
BRCR,0.762,0.925,0.907,0.79,0.78
WIWR,0.799,0.64,0.806,0.81,0.8
PSFL,0.836,0.615,0.796,0.87,0.81
RBNU,0.92,0.94,0.915,0.95,0.95
DEJU,0.782,0.729,0.673,0.75,0.75
OSFL,0.782,0.57,0.857,0.84,0.84
alt.atheism,0.98,0.953,0.968,0.64,0.57
comp.graphics,0.904,0.899,0.864,0.64,0.6
comp.os.ms-windows.misc,0.866,0.783,0.782,0.73,0.77
comp.sys.ibm.pc.hardware,0.923,0.883,0.885,0.69,0.623
comp.sys.mac.hardware,0.951,0.922,0.906,0.74,0.63
comp.windows.x,0.946,0.948,0.895,0.77,0.57
stripednotebook~greenteabox (SIVAL 10),0.882,0.788,0.948,0.91,
cardboardbox~candlewithholder (SIVAL 4),0.647,0.651,0.859,0.73,
bluescrunge~ajaxorange (SIVAL 3),0.676,0.588,0.795,0.63,
HETH (Birdsong 5),0.686,0.439,0.641,0.75,
CBCH(Birdsong 2),0.895,0.884,0.849,0.83,
VATH (Birdsong 11),0.989,0.94,0.915,0.91,
